UnitType,Number,Title,RecurrenceType,RecurrenceStrategy,DayOfWeek,WeekNumber,DayNumber,InstallationMonth,StartMonth,EndMonth,Months,Override
Craft,9546,Installation,Yearly,Default,Friday,3rd,,,Mar,Mar,,
Craft,9649,Meeting,Monthly,Default,Thursday,2nd,,Mar,,,Mar:May:Sep:Dec,
Craft,9689,Meeting,Monthly,Default,Saturday,2nd,,Feb,,,Feb:Jun,
Craft,9689,Meeting,Monthly,Default,Friday,3rd,,,,,Apr:Sep,
Craft,9689,Meeting,Yearly,Default,Saturday,3rd,,,Nov,Nov,,
Craft,9689,Meeting,Yearly,Default,Friday,2nd,,,Dec,Dec,,
Craft,9942,Meeting,Monthly,Default,Tuesday,1st,,,,,Jun:Oct:Dec,
Craft,9942,Meeting,Yearly,Default,Monday,Last,,,Feb,Feb,,
Craft,9942,Installation,Yearly,Default,Saturday,1st,,,Apr,Apr,,
RoyalArch,170,Meeting,Monthly,Default,Friday,1st,,Nov,,,Oct:Nov:Dec:Feb:Mar:Apr,
RoyalArch,5331,Meeting,Monthly,Default,Friday,4th,,Mar,,,Jan:Mar:Sep:Nov,
RoyalArch,137,Meeting,Monthly,Default,Monday,2nd,,May,,,Mar:May:Oct:Dec,
RoyalArch,386,Meeting,Monthly,Default,Wednesday,3rd,,Oct,,,Jan:Apr:Jul:Oct,
RoyalArch,417,Meeting,Monthly,Default,Monday,4th,,Feb,,,Feb:Apr:Sep:Nov,
RoyalArch,622,Meeting,Monthly,Default,Thursday,3rd,,Oct,,,Jan:Mar:May:Oct:Nov,
RoyalArch,665,Meeting,Monthly,Default,Thursday,4th,,Mar,,,Jan:Mar:May:Sep:Nov,
RoyalArch,707,Meeting,Monthly,Default,Thursday,1st,,Apr,,,Feb:Apr:Oct:Dec,
RoyalArch,1037,Meeting,Monthly,Default,Thursday,4th,,Oct,,,Jan:Feb:Mar:Apr:Oct:Nov,
RoyalArch,1168,Meeting,Monthly,Default,Tuesday,Last,,Nov,,,Jan:Mar:May:Oct:Nov,
RoyalArch,1266,Meeting,Monthly,Default,Friday,2nd,,Apr,,,Jan:Apr:Jul:Nov,"Tyles at 6.00pm on the second Friday in January, fourth Friday in April (Installation), third Friday in July and first Friday in November"
RoyalArch,1367,Meeting,Monthly,Default,Wednesday,1st,,Jun,,,May:Jun:Sep,"Tyles at 6.30pm on the first Wednesday in May, the first Saturday in June (10.30am) and the first Wednesday in September. Installation June."
RoyalArch,2559,Meeting,Monthly,Default,Monday,3rd,,Nov,,,Mar:May:Sep:Nov,
RoyalArch,2689,Meeting,Monthly,Default,Wednesday,2nd,,Apr,,,Feb:Mar:Apr:Oct:Nov,
RoyalArch,3366,Meeting,Monthly,Default,Friday,3rd,,Oct,,,Apr:Oct,
RoyalArch,3473,Meeting,Monthly,Default,Monday,2nd,,Sep,,,Jan:Mar:May:Sep:Nov,
RoyalArch,6445,Meeting,Monthly,Default,Tuesday,1st,,Oct,,,Feb:Apr:Oct:Dec,"Tyles at 6.00pm on the first Tuesday in February, April, October (Installation), and second Tuesday in December"
RoyalArch,7986,Meeting,Monthly,Default,Thursday,2nd,,May,,,Feb:May:Dep:Dec,"Tyles at 6.00pm on the second Thursday in September, and the first Thursday in December, February and May (Installation)."
RoyalArch,8099,Meeting,Monthly,Default,Thursday,3rd,,Nov,,,Feb:May:Sep:Nov,"Tyles at 6.00pm on the third Thursday in February and November (Installation), the fourth Tuesday in May and the second Tuesday in September."
RoyalArch,9050,Meeting,Monthly,Default,Wednesday,3rd,,Mar,,,Jan:Mar:Jun:Oct,
RoyalArch,9177,Meeting,Monthly,Default,Thursday,4th,,Sep,,,Mar:May:Sep:Dec,"Tyles at 6.00pm on the fourth Thursday in March, second Thursday in May and September (Installation), and the third Thursday in December."
RoyalArch,9649,Meeting,Monthly,Default,Wednesday,2nd,,Mar,,,Mar:Jul:Oct,
