UnitType,UnitID,Number,Title,RecurrenceType,RecurrenceStrategy,DayOfWeek,WeekNumber,DayNumber,InstallationMonth,StartMonth,EndMonth,Months,Override,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,8dd83e27-12cf-4054-96d8-40292f727592,1168,Meeting,Monthly,Default,Monday,2nd,,,,,Jan:Feb:Mar:Apr:May:Jun:Sep:Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,8dd83e27-12cf-4054-96d8-40292f727592,1168,Installation,Yearly,Default,Monday,1st,,Oct,Oct,Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,0fc7e0d8-c8f7-4b73-b702-b8e9ae47d974,1266,Meeting,Monthly,LunarSeason,Tuesday,,,Nov,Jan,Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,2e6e00b9-5edd-47ee-ab8c-4a177b339247,1367,Meeting,Monthly,Default,Tuesday,2nd,,Mar,Oct,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,826c030e-3f55-41c3-850e-ca67d1b5c354,2559,Meeting,Monthly,Default,Tuesday,2nd,,Oct,Oct,Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,9004679e-abf6-4311-997b-4b76ab7d8940,2689,Meeting,Monthly,Default,Tuesday,3rd,,Nov,,,Jan:Feb:Mar:Apr:May:Jun:Sep:Oct:Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,9004679e-abf6-4311-997b-4b76ab7d8940,2689,Meeting,Yearly,Default,Tuesday,2nd,,,Dec,Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,bf929819-1e85-4217-b791-a71f40d94a53,3366,Meeting,Monthly,Default,Thursday,1st,,Jun,,,Mar:Jun:Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,817bfaa7-3087-4940-8051-bf873bb6a6bc,3473,Meeting,Monthly,Default,Monday,3rd,,Nov,Sep,Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,2b04ec0b-cc42-4e46-b3e5-982e9e3e7f92,3625,Meeting,Monthly,Default,Friday,Last,,Oct,Sep,Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,7a1d6f4d-61ae-4ab2-bd90-adcf76ef4efa,3878,Meeting,Monthly,Default,Monday,3rd,,Sep,Sep,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,6bc57e35-e132-4693-88c2-49fe9d0cc437,4355,Meeting,Monthly,Default,Wednesday,1st,,Oct,Oct,Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,c8dc2ce2-d67b-47ac-bafd-235ab8dbc1f4,5331,Meeting,Monthly,Default,Tuesday,3rd,,Apr,Sep,Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,d3eb1a32-efd0-4876-8ff2-695147c4df97,6445,Meeting,Monthly,Default,Friday,4th,,Oct,,,Sep:Oct:Nov:Jan:Feb:Mar:Apr:May:Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,d3eb1a32-efd0-4876-8ff2-695147c4df97,6445,Meeting,Yearly,Default,Friday,3rd,,,Dec,Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,9dd67828-767b-4f17-b7c7-4a9aba9baf2c,6525,Meeting,Monthly,Default,Friday,Last,,Nov,,,Jan:Feb:Mar:Apr:May:Jun:Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,9dd67828-767b-4f17-b7c7-4a9aba9baf2c,6525,Meeting,Yearly,Default,Friday,2nd,,,Dec,Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,7c8670f7-547d-4fcc-87db-f35473bbcf31,6582,Meeting,Monthly,Default,Friday,2nd,,Apr,Sep,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,6014eccc-c64f-42c6-8120-0b75f18db64e,7300,Meeting,Monthly,Default,Saturday,3rd,,Mar,Sep,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,ae4f188f-1588-41bd-8e60-c0c07fee3611,7860,Meeting,Monthly,Default,Wednesday,4th,,Feb,Jan,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,ae4f188f-1588-41bd-8e60-c0c07fee3611,7860,Meeting,Monthly,Default,Wednesday,4th,,,Sep,Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,4e0394b0-a81d-4070-b050-c0ccd620f3b6,7873,Meeting,Monthly,Default,Thursday,2nd,,May,,,Sep:Oct:Nov:Jan:Feb:Mar:Apr:May:Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,3d03f7c8-08bf-4dee-9b53-c73b3250990c,7907,Meeting,Monthly,Default,Monday,4th,,Sep,Sep,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,3d03f7c8-08bf-4dee-9b53-c73b3250990c,7907,Meeting,Yearly,Default,Wednesday,2nd,,,Dec,Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,a9c6e0f6-cdf0-4b47-a236-a0dd0048091e,7986,Meeting,Monthly,Default,Thursday,3rd,,Apr,Sep,Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craft,eaf085d2-2ceb-46d1-b799-4a92d7898f35,8025,Meeting,Monthly,Default,Monday,2nd,,May,,,Oct:Nov:Jan:Feb:Mar:Apr:May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
